"Model1","AUC_NoBalance","Sens_NoBalance","AUC_Balance","Sens_Balance"
"gbm",0.6425,0.25,0.6259,0.4062
"glm",0.6335,0.3125,0.6316,0.5
"knn",0.5386,0.25,0.5573,0.5312
"naive_bayes",0.5421,0.3125,NA,NA
"rf",0.6127,0.4062,0.612,0.4062
"rpart",0.6125,0.375,0.5881,0.3125
"svmRadial",0.5909,0.3125,0.6009,0.375
