Variable	P_Value
higher	0.0238490673661765
guardian	0.0327710005372618
paid	0.0564531755248378
romantic	0.0912505442495134
Mjob	0.0999380741353768
internet	0.106244579103827
schoolsup	0.130458338007078
Fjob	0.141743880873645
famsize	0.247867233569965
reason	0.268685051681996
sex	0.280306664179917
school	0.287772863711667
Pstatus	0.348211914398846
address	0.484860267447833
activities	0.682862223712348
famsup	0.776998054099276
nursery	0.829165543651921
