meanImp	medianImp	minImp	maxImp	normHits	decision	Variable
1.32421218360511	1.45770144146162	-1.0289099149349	3.63355270074646	0.0909090909090909	Rejected	school
0.134399469694756	-0.0991015176465867	-1.833209827882	2.07714329402082	0	Rejected	sex
4.01398178213975	3.98596008117581	1.42257532022925	8.88898409670756	0.727272727272727	Confirmed	age
0.33887813649165	0.776759102718792	-1.29492310547805	1.84177040310681	0	Rejected	address
0.246350871037348	0.166919488985326	-1.1940540171281	1.55719614207145	0	Rejected	famsize
-0.897467782687902	-1.02029490661383	-3.07053833516943	0.234013108793304	0	Rejected	Pstatus
4.22401095530186	4.35791556316807	0.88442196109832	8.00678333185402	0.727272727272727	Confirmed	Medu
1.71723030107123	1.67798165621441	-2.01297678998478	4.28372165817189	0.111111111111111	Rejected	Fedu
-0.191891674471686	-0.163530197413743	-1.27811366914761	1.47098734188701	0	Rejected	Mjob
2.86166911865861	2.94232231016425	-1.65214466193616	6.45684668805295	0.454545454545455	Tentative	Fjob
0.514385035221099	0.692138967354425	-1.26893938775256	2.50710284781916	0	Rejected	reason
6.34334665992261	6.38793544014734	2.43112541128586	9.94096934971175	0.909090909090909	Confirmed	guardian
0.0398355719388899	0.0604517139949372	-2.88913017114464	1.97864714056859	0	Rejected	traveltime
0.35893736690734	0.658605934407123	-3.18771197893867	2.03292495914334	0	Rejected	studytime
22.8964341781909	23.3299099512915	14.327727747754	28.3872394165639	1	Confirmed	failures
7.04242260807527	7.11622344279762	1.06907042618807	12.6883271051854	0.898989898989899	Confirmed	schoolsup
-0.246968404559757	-0.23310212753054	-1.49399422643034	1.31371176253108	0	Rejected	famsup
0.0536927985336142	0.183112630103341	-1.90836468025025	2.56249198647113	0	Rejected	paid
0.113650623237029	0.0754529195706718	-1.23367708960314	1.80599462461391	0	Rejected	activities
-0.383823363181698	-0.216112308045403	-2.22431667455598	0.556211257232909	0	Rejected	nursery
1.38089835659253	1.38576290565366	-1.11799975525907	3.49129868402228	0.0404040404040404	Rejected	higher
2.77553834233618	2.90029031593383	-1.59576948898009	7.18000865788473	0.444444444444444	Tentative	internet
0.174565462381813	0.0013624223940242	-2.59754845855313	2.42183292617252	0.0202020202020202	Rejected	romantic
0.0513198417425705	-0.0633852122879118	-2.3724236457379	2.74635533304288	0	Rejected	famrel
0.0268314751834263	0.0261113435398673	-1.57175226687958	1.98906446672478	0	Rejected	freetime
8.09455529280524	8.26271116626027	3.1667804861363	11.6247202049477	0.98989898989899	Confirmed	goout
0.325100476988127	0.403283226412111	-1.92984599443197	2.7366592204199	0	Rejected	Dalc
1.03216509347092	1.22933710606033	-0.676951380968305	2.81134053016229	0	Rejected	Walc
-0.974942611672912	-0.506023920720623	-2.52334399356677	0.331464795792296	0	Rejected	health
11.2331218435765	11.4177587443932	4.64476465778925	16.6907755272358	1	Confirmed	absences
