meanImp	medianImp	minImp	maxImp	normHits	decision	Variable
0.944012684523381	1.54831115858378	-0.978360555198552	2.02778733256309	0.0101010101010101	Rejected	school
1.08646687410474	1.07888886360094	-0.969017939818596	2.76899602498203	0.0101010101010101	Rejected	sex
5.02699497776763	5.0463584474386	2.00943096218612	8.68428264262924	0.858585858585859	Confirmed	age
0.527994131513511	0.564283003246274	-1.9431360664557	2.43040944336411	0.0202020202020202	Rejected	address
1.22624702481751	1.2917499730617	-0.171559079770918	2.50506779572518	0	Rejected	famsize
0.368936274627555	0.0906843042534635	-0.775507189279364	3.01107977536329	0.0101010101010101	Rejected	Pstatus
6.42534628662322	6.40593362165251	3.39827468861388	10.314363310662	0.95959595959596	Confirmed	Medu
0.693769294959098	0.739066346760671	-2.04110234898654	3.11962874439041	0.0303030303030303	Rejected	Fedu
3.1430266817923	3.05720017116498	-0.443251168418935	7.15541221831103	0.505050505050505	Tentative	Mjob
-0.844025773554356	-0.654743762447508	-2.46973951111157	-0.187902197142908	0	Rejected	Fjob
0.566848557689495	0.654341134146461	-1.844855861993	2.56720042013282	0.0202020202020202	Rejected	reason
6.97643722914683	7.0401094741208	4.00856926712851	10.0719506097254	0.98989898989899	Confirmed	guardian
0.481090726886383	0.480019363639144	-1.23988613758493	2.31868597086368	0.0101010101010101	Rejected	traveltime
-0.291824650109093	-0.599944746898717	-1.85686108344196	1.17203917777724	0	Rejected	studytime
20.8570586272797	21.5082273052871	14.8720770016795	25.3119753946346	1	Confirmed	failures
8.09945656830486	8.60418637057731	2.56608807409711	11.5390497574306	1	Confirmed	schoolsup
1.12637998535926	1.089082147872	-0.59356855485726	2.73226104515733	0.0202020202020202	Rejected	famsup
2.63698588764582	2.53675079771278	-0.0902317234932062	6.27214808065397	0.383838383838384	Tentative	paid
0.495055839354994	0.501958304393977	-1.29942264640773	2.23019187370924	0.0101010101010101	Rejected	activities
-0.339148936759703	-0.306783144035017	-2.50399886766637	1.3163270531267	0	Rejected	nursery
4.39378132285985	4.30826402233147	2.29851862015781	6.41194022041519	0.858585858585859	Confirmed	higher
1.70178780092777	1.4992161265054	0.121407430286323	5.2197122611272	0.0404040404040404	Rejected	internet
5.56575063289174	5.38248657711114	2.28155108073882	9.65755718368899	0.939393939393939	Confirmed	romantic
0.563352049152957	0.498670379028357	-0.991996511194171	1.76944183515975	0	Rejected	famrel
-0.713632051491061	-0.756049014092022	-2.43708540607889	0.869340488865221	0	Rejected	freetime
1.22112428177503	1.20757304692149	-0.875365594876588	4.27634613059381	0.0404040404040404	Rejected	goout
2.62373271948416	2.73260210923733	-0.655060666102866	6.32933110254081	0.373737373737374	Tentative	Dalc
0.341827623704367	0.604898912617076	-1.46300383494808	1.82843091833214	0	Rejected	Walc
1.01529288324888	1.02161187414625	-1.29292847413936	3.49419165628015	0.0101010101010101	Rejected	health
16.0248272001779	16.4698044224852	9.56589576809114	21.1279815875292	1	Confirmed	absences
