Variable	Abs_Correlation
G3	1
failures	0.353701588340551
Medu	0.189771542762073
age	0.175720186292082
Fedu	0.105210596683325
traveltime	0.0911760763120085
health	0.0781591439785919
studytime	0.0752972403186899
goout	0.0662026414528695
Dalc	0.0605637792864531
famrel	0.0537748699181027
absences	0.0233124500466988
Walc	0.00471887070456528
freetime	0.00348349826709611
