Variable	P_Value
higher	0.00385021044386727
romantic	0.0674035188139335
schoolsup	0.0679981659005079
guardian	0.0700050713881979
paid	0.0828763901066476
sex	0.194883123843429
reason	0.212849518859897
Mjob	0.25758057316209
internet	0.278122361480585
famsup	0.285947994910752
address	0.362597255007292
famsize	0.475574258451245
Pstatus	0.483964650286848
school	0.649652032047886
Fjob	0.720971058738493
activities	0.88895143786014
nursery	0.966527416672825
